producto,registros,provincias_distintas,provincias
Cacao Ccn51 Almendra Seca,1282,16,Bolivar | Cañar | Chimborazo | Cotopaxi | El Oro | Esmeraldas | Guayas | Los Rios | Manabí | Morona Santiago | Napo | Orellana | Santa Elena | Santo Domingo De Los Tsáchilas | Sucumbios | Zamora Chinchipe
Cacao Mezclado Almendra Seca,913,15,Bolivar | Cañar | Cotopaxi | El Oro | Esmeraldas | Guayas | Los Rios | Manabí | Napo | Orellana | Pastaza | Santa Elena | Santo Domingo De Los Tsáchilas | Sucumbios | Zamora Chinchipe
Papa Superchola,803,8,Azuay | Bolivar | Carchi | Cañar | Chimborazo | Cotopaxi | Pichincha | Tungurahua
Mora,667,4,Bolivar | Carchi | Chimborazo | Tungurahua
Cacao Fino De Aroma Almendra Seca,661,16,Bolivar | Cañar | Cotopaxi | El Oro | Esmeraldas | Guayas | Los Rios | Manabí | Morona Santiago | Napo | Orellana | Pastaza | Santa Elena | Santo Domingo De Los Tsáchilas | Sucumbios | Zamora Chinchipe
Maracuyá,627,6,Esmeraldas | Guayas | Los Rios | Manabí | Santa Elena | Santo Domingo De Los Tsáchilas
Palma De Aceite,619,6,Esmeraldas | Los Rios | Orellana | Pichincha | Santo Domingo De Los Tsáchilas | Sucumbios
Tomate Riñón De Invernadero,549,5,Azuay | Chimborazo | Cotopaxi | Imbabura | Tungurahua
Frutilla,543,4,Chimborazo | Imbabura | Pichincha | Tungurahua
Yuca,439,6,Cotopaxi | Los Rios | Morona Santiago | Pastaza | Santo Domingo De Los Tsáchilas | Zamora Chinchipe
Maíz Duro Seco,421,8,Guayas | Loja | Los Rios | Manabí | Napo | Orellana | Santa Elena | Sucumbios
Palmito,402,4,Esmeraldas | Orellana | Pichincha | Santo Domingo De Los Tsáchilas
Plátano Barraganete,391,6,Cotopaxi | Manabí | Morona Santiago | Pastaza | Santo Domingo De Los Tsáchilas | Zamora Chinchipe
Plátano Dominico,380,4,Cotopaxi | Morona Santiago | Santo Domingo De Los Tsáchilas | Zamora Chinchipe
Limón Sutil,374,3,El Oro | Manabí | Santa Elena
Tomate De Árbol,372,5,Azuay | Bolivar | Imbabura | Napo | Tungurahua
Cebolla Colorada Seca Y Limpia De Primera,370,5,Azuay | Carchi | Loja | Manabí | Santa Elena
Banano Cavendish Spot,355,3,El Oro | Guayas | Los Rios
Cebolla En Rama Seca Y Limpia De Primera,335,5,Carchi | Chimborazo | Manabí | Pichincha | Tungurahua
Naranjilla Híbrida,327,4,Bolivar | Napo | Pastaza | Zamora Chinchipe
Maíz Suave Choclo,254,8,Azuay | Bolivar | Carchi | Chimborazo | Cotopaxi | Imbabura | Pichincha | Tungurahua
Café Robusta Cereza,217,2,Orellana | Sucumbios
Caña De Azúcar Tallo Fresco,211,2,Morona Santiago | Pastaza
Pimiento,204,3,Chimborazo | Manabí | Santa Elena
Brócoli,202,2,Chimborazo | Cotopaxi
Café Arábigo Bola,190,4,El Oro | Loja | Manabí | Zamora Chinchipe
Fréjol Tierno En Vaina,189,6,Bolivar | Carchi | Chimborazo | Guayas | Imbabura | Los Rios
Arroz Pilado Grano Largo,184,3,El Oro | Loja | Manabí
Arveja Tierna En Vaina,181,3,Carchi | Imbabura | Tungurahua
Pitahaya Amarilla,172,4,Manabí | Morona Santiago | Pichincha | Zamora Chinchipe
Fréjol Seco,147,8,Azuay | Bolivar | Carchi | Cañar | Chimborazo | Cotopaxi | Imbabura | Loja
Plátano Barraganete De Exportación,145,3,Manabí | Santo Domingo De Los Tsáchilas | Zamora Chinchipe
Banano Cavendish Enano,121,2,Cañar | Los Rios
Arroz Cáscara Grano Largo,119,2,Guayas | Los Rios
Arroz Cáscara,104,4,Guayas | Los Rios | Manabí | Orellana
Naranja,99,2,Bolivar | Los Rios
Uvilla,86,2,Bolivar | Imbabura
Arroz Cáscara Grano Corto,79,2,Guayas | Los Rios
Arroz Pilado,78,3,El Oro | Loja | Manabí
Arroz Pilado Grano Corto,65,4,El Oro | Loja | Los Rios | Manabí
Tomate Riñón A Campo Abierto,64,3,Chimborazo | Imbabura | Manabí
Pitahaya Roja,62,1,Manabí
Haba Tierna En Vaina,54,2,Carchi | Chimborazo
Trigo,52,3,Bolivar | Carchi | Chimborazo
Sandía,49,1,Santa Elena
Naranjilla Jugo,40,2,Napo | Pastaza
Melón,39,1,Santa Elena
Papa China,39,1,Pastaza
Plátano Dominico De Exportación,37,3,Morona Santiago | Santo Domingo De Los Tsáchilas | Zamora Chinchipe
Soya,35,2,Guayas | Los Rios
Aguacate Fuerte,22,2,Imbabura | Pichincha
Cacao CCN51 Almendra Seca,20,11,Bolivar | Cañar | Cotopaxi | Esmeraldas | Guayas | Los Rios | Morona Santiago | Santa Elena | Santo Domingo De Los Tsáchilas | Sucumbios | Zamora Chinchipe
Quinua,19,3,Carchi | Chimborazo | Imbabura
Arandano Biloxi,19,1,Imbabura
Piña Nacional,13,1,Guayas
Piña Md-2,12,1,Santo Domingo De Los Tsáchilas
Tomate Riñón de Invernadero,11,4,Azuay | Chimborazo | Cotopaxi | Imbabura
Arandano Emerald,10,1,Imbabura
Palma de Aceite,7,4,Esmeraldas | Los Rios | Orellana | Sucumbios
Cebolla Colorada Seca y Limpia de Primera,6,3,Azuay | Carchi | Loja
Cebolla en Rama Seca y Limpia de Primera,5,3,Chimborazo | Pichincha | Tungurahua
Café Robusta Bola,5,2,Loja | Sucumbios
Arveja Tierna en Vaina,4,2,Carchi | Tungurahua
Cacao Fino de Aroma Almendra Seca,4,2,Cotopaxi | Manabí
Caña de Azúcar Tallo Fresco,4,2,Morona Santiago | Pastaza
Tomate de Árbol,3,2,Azuay | Napo
Café Arábigo Grano Oro,3,1,El Oro
Plátano Barraganete de Exportación,3,1,Santo Domingo De Los Tsáchilas
Haba Tierna en Vaina,2,1,Carchi
Piña MD-2,2,1,Santo Domingo De Los Tsáchilas
Plátano Dominico de Exportación,2,1,Zamora Chinchipe
Banano Cavendish,1,1,Guayas
