producto,registros,provincias_distintas,provincias
Zanahoria Amarilla,1857,13,Azuay | Carchi | Chimborazo | Cotopaxi | El Oro | Guayas | Imbabura | Los Rios | Manabí | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Haba Tierna en Vaina,1801,15,Azuay | Bolivar | Carchi | Cañar | Chimborazo | Cotopaxi | El Oro | Guayas | Imbabura | Loja | Los Rios | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Pimiento,1753,14,Azuay | Bolivar | Chimborazo | Cotopaxi | El Oro | Guayas | Imbabura | Loja | Los Rios | Manabí | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Maíz Suave Choclo,1742,13,Azuay | Bolivar | Cañar | Chimborazo | Cotopaxi | El Oro | Guayas | Imbabura | Loja | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Tomate Riñón de Invernadero,1674,13,Azuay | Bolivar | Chimborazo | Cotopaxi | El Oro | Guayas | Imbabura | Loja | Los Rios | Manabí | Pichincha | Santa Elena | Tungurahua
Tomate de Árbol,1630,12,Azuay | Bolivar | Carchi | Chimborazo | Cotopaxi | Guayas | Imbabura | Loja | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Cebolla Blanca en Rama,1495,12,Azuay | Bolivar | Chimborazo | Cotopaxi | El Oro | Guayas | Imbabura | Los Rios | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Col,1492,13,Azuay | Bolivar | Chimborazo | Cotopaxi | El Oro | Guayas | Imbabura | Los Rios | Manabí | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Pepinillo Pepino,1412,11,Azuay | Chimborazo | El Oro | Guayas | Imbabura | Los Rios | Manabí | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Maracuyá,1381,12,Azuay | Chimborazo | El Oro | Guayas | Imbabura | Loja | Los Rios | Manabí | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Limón Sutil,1377,13,Azuay | Chimborazo | El Oro | Guayas | Imbabura | Loja | Los Rios | Manabí | Peru | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Mora de Castilla,1288,10,Azuay | Bolivar | Chimborazo | Cotopaxi | Guayas | Loja | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Lechuga,1273,12,Azuay | Bolivar | Chimborazo | Cotopaxi | Guayas | Imbabura | Los Rios | Manabí | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Yuca,1236,9,Azuay | Cotopaxi | Guayas | Loja | Los Rios | Manabí | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas
Naranjilla Híbrida,1230,10,Azuay | Bolivar | Chimborazo | El Oro | Guayas | Imbabura | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
Frutilla,1205,10,Azuay | Chimborazo | Cotopaxi | Guayas | Imbabura | Loja | Pichincha | Santa Elena | Santo Domingo De Los Tsáchilas | Tungurahua
