Año,Mes,IBC,,,,,
2013,Enero,180.04891831146497,,,,,
2013,Febrero,242.30890106358086,,,,,
2013,Marzo,276.08790851196477,,,,,
2013,Abril,184.95864348950812,,,,,
2013,Mayo,193.06605981056595,,,,,
2013,Junio,172.23786406145985,,,,,
2013,Julio,114.43578964039925,,,,,
2013,Agosto,109.65100776117465,,,,,
2013,Septiembre,153.62912910461995,,,,,
2013,Octubre,209.1310471676241,,,,,
2013,Noviembre,230.99399092698596,,,,,
2013,Diciembre,325.6867301193474,,,,,
2014,Enero,246.4292510682647,,,,,
2014,Febrero,277.54687264931823,,,,,
2014,Marzo,305.96189003912104,,,,,
2014,Abril,201.99510761591074,,,,,
2014,Mayo,200.21486650617376,,,,,
2014,Junio,245.78278016767538,,,,,
2014,Julio,126.02405926422321,,,,,
2014,Agosto,214.00678549101104,,,,,
2014,Septiembre,259.0738044951316,,,,,
2014,Octubre,223.8686439898083,,,,,
2014,Noviembre,295.30449106553584,,,,,
2014,Diciembre,277.10568997105105,,,,,
2015,Enero,276.8068654683308,,,,,
2015,Febrero,362.9570201852375,,,,,
2015,Marzo,330.13011529710025,,,,,
2015,Abril,237.40260799997515,,,,,
2015,Mayo,279.4914495217418,,,,,
2015,Junio,239.53965185587512,,,,,
2015,Julio,207.80023407449852,,,,,
2015,Agosto,305.5971329517655,,,,,
2015,Septiembre,208.28012669086297,,,,,
2015,Octubre,335.6141657971323,,,,,
2015,Noviembre,342.91769781643416,,,,,
2015,Diciembre,347.7039708436745,,,,,
2016,Enero,300.8304086395933,,,,,
2016,Febrero,351.5685363653529,,,,,
2016,Marzo,321.59654523160765,,,,,
2016,Abril,281.86202967532563,,,,,
2016,Mayo,351.67551533131393,,,,,
2016,Junio,318.2155323356282,,,,,
2016,Julio,316.9008848910181,,,,,
2016,Agosto,247.9437193496144,,,,,
2016,Septiembre,282.25516554073585,,,,,
2016,Octubre,381.0204029673635,,,,,
2016,Noviembre,297.3000499435929,,,,,
2016,Diciembre,318.3163614688067,,,,,
2017,Enero,393.4842146837502,,,,,
2017,Febrero,392.62593862516593,,,,,
2017,Marzo,340.3079521529929,,,,,
2017,Abril,330.89532557748174,,,,,
2017,Mayo,286.58639031591645,,,,,
2017,Junio,271.7671614708417,,,,,
2017,Julio,267.71595663813423,,,,,
2017,Agosto,196.95407301039867,,,,,
2017,Septiembre,241.33302541397387,,,,,
2017,Octubre,303.31943568297055,,,,,
2017,Noviembre,242.33268335555806,,,,,
2017,Diciembre,345.6324288663753,,,,,
2018,Enero,328.10362054120696,,,,,
2018,Febrero,333.7469363192475,,,,,
2018,Marzo,376.9046543594386,,,,,
2018,Abril,317.0376827610709,,,,,
2018,Mayo,298.5739335871213,,,,,
2018,Junio,226.84007892996962,,,,,
2018,Julio,210.22108043316845,,,,,
2018,Agosto,229.80295573120998,,,,,
2018,Septiembre,296.07947433828224,,,,,
2018,Octubre,273.54630633973073,,,,,
2018,Noviembre,301.05261294110267,,,,,
2018,Diciembre,375.0199531882431,,,,,
2019,Enero,302.1040429874755,,,,,
2019,Febrero,352.05299423586195,,,,,
2019,Marzo,315.04345609191915,,,,,
2019,Abril,307.49079787531707,,,,,
2019,Mayo,295.12485444396873,,,,,
2019,Junio,261.4060652865648,,,,,
2019,Julio,229.0259267118532,,,,,
2019,Agosto,279.30522448364337,,,,,
