product_id,product_name,model_name,feature_set,mae,rmse,mape,r2,directional_accuracy,n_test,validation_rmse_mean,operational_rmse_mean
maracuya,Maracuya,xgboost,base,0.07484259939837004,0.09520850260427265,10.100852223842995,0.5768774384002746,0.8780487804878049,83,0.11551616289139648,0.160886392760317
maracuya,Maracuya,lstm,base,0.09822180400411766,0.13220142530409534,12.956549752146152,0.18419382708927123,0.5365853658536586,83,0.14539108338794113,0.20391856653540183
maracuya,Maracuya,arima,base,0.09778454830945407,0.13282540456084838,13.485591447843998,0.17647458167173524,0.5,83,0.13128943574414884,0.181881746143739
maracuya,Maracuya,xgboost,full,0.07583681759171658,0.0960348880938737,10.405514923960046,0.5695003696394966,0.8902439024390244,83,0.11623034957890906,0.15783548893174126
maracuya,Maracuya,lstm,full,0.09785367853670235,0.1271104328832997,13.446944443542113,0.24581635923198164,0.6585365853658537,83,0.18829478453111162,0.18468564966239562
maracuya,Maracuya,arima,full,0.10305073655299112,0.13939852232719632,12.831292558269547,0.09295036305822679,0.6707317073170732,83,,0.20208965429023346
papa_superchola,Papa Superchola,xgboost,base,0.06353120161236193,0.07471763283671246,12.605228456146387,0.741636247193876,0.8933333333333333,76,0.057647334743928434,0.05055953390758325
papa_superchola,Papa Superchola,lstm,base,0.11184690535068512,0.1318314392996409,22.960014162010896,0.19769094247215346,0.5675675675675675,75,0.10446613606861392,0.10681524119554697
papa_superchola,Papa Superchola,arima,base,0.11906417273136485,0.1464934442877073,24.42754378812353,-0.06489528691490665,0.42857142857142855,71,0.1473253615307989,0.10153770089276393
papa_superchola,Papa Superchola,xgboost,full,0.04570986002289623,0.05944110571403887,8.613019673359451,0.8364844217747779,0.8666666666666667,76,0.047538509278749454,0.0631687147261084
papa_superchola,Papa Superchola,arima,full,0.060572151622931135,0.08007604329446846,11.923392771008565,0.6818179056028555,0.8,71,0.16922702170445414,0.11159319260750818
papa_superchola,Papa Superchola,lstm,full,0.07717802067597707,0.09721438131391834,18.393296181466333,0.5637205659296628,0.6891891891891891,75,0.07759318599397864,0.06637014796963472
tomate_rinon_invernadero,Tomate Rinon de Invernadero,xgboost,base,0.08541782639856689,0.10612559539265459,13.744228438734336,0.5869271983747212,0.7422680412371134,98,0.1031543383645116,0.09574641003441565
tomate_rinon_invernadero,Tomate Rinon de Invernadero,lstm,base,0.1017923932902667,0.12269752709123398,16.27108639017842,0.447848954832719,0.4845360824742268,98,0.11189793103149116,0.1212834983186957
tomate_rinon_invernadero,Tomate Rinon de Invernadero,arima,base,0.12185246041616309,0.1521275361407748,18.077174401947836,0.15120662009160357,0.6185567010309279,98,0.1169303313524587,0.07516130007627415
tomate_rinon_invernadero,Tomate Rinon de Invernadero,xgboost,full,0.0643885886281312,0.08040882758289153,10.744592716001135,0.7628660255027186,0.8556701030927835,98,0.07472480560397765,0.09569198221147324
tomate_rinon_invernadero,Tomate Rinon de Invernadero,lstm,full,0.06672672684095343,0.0824535647446065,11.354759660807737,0.7506524233742394,0.7319587628865979,98,0.14116273285459602,0.08312809813325019
tomate_rinon_invernadero,Tomate Rinon de Invernadero,arima,full,0.09117119416814297,0.10741755058019915,13.998440817807936,0.5768086221567487,0.8144329896907216,98,,0.08824050766910349
