año,mes,provincia,tipo_insumo,ingrediente_activo,concent,contenido,unidad_de_medida,promedio_de_precio
2013,ene,AZUAY,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,40.35
2013,ene,AZUAY,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,36.25
2013,ene,AZUAY,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,34.5
2013,ene,AZUAY,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,7.406666666666666
2013,ene,AZUAY,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,14.733333333333334
2013,ene,AZUAY,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,6.1499999999999995
2013,ene,AZUAY,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.779999999999999
2013,ene,AZUAY,HERBICIDAS,PARAQUAT,20%,1,Litro,6.833333333333333
2013,ene,AZUAY,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,9.315000000000001
2013,ene,AZUAY,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,12.0
2013,ene,BOLIVAR,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,44.03125
2013,ene,BOLIVAR,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,33.625
2013,ene,BOLIVAR,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,32.9375
2013,ene,BOLIVAR,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,5.925000000000001
2013,ene,BOLIVAR,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,14.666666666666666
2013,ene,BOLIVAR,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.142857142857143
2013,ene,BOLIVAR,HERBICIDAS,GLIFOSATO,48%,1,Litro,4.816666666666666
2013,ene,BOLIVAR,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,9.5
2013,ene,BOLIVAR,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,12.0
2013,ene,CAÑAR,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,38.15
2013,ene,CAÑAR,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,35.125
2013,ene,CAÑAR,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,32.075
2013,ene,CAÑAR,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,6.35
2013,ene,CAÑAR,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,15.1
2013,ene,CAÑAR,FUNGICIDAS,PROPICONAZOL,25%,1,Litro,29.0
2013,ene,CAÑAR,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.9
2013,ene,CAÑAR,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.9
2013,ene,CAÑAR,HERBICIDAS,PENDIMETALINA,40%,1,Litro,8.15
2013,ene,CAÑAR,HERBICIDAS,PROPANIL,48%,1,Litro,7.6
2013,ene,CAÑAR,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,9.7
2013,ene,CAÑAR,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,12.2
2013,ene,CARCHI,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,45.0
2013,ene,CARCHI,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,37.32142857142857
2013,ene,CARCHI,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,36.0375
2013,ene,CARCHI,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,6.7192307692307685
2013,ene,CARCHI,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,12.959999999999999
2013,ene,CARCHI,FUNGICIDAS,PROPICONAZOL,25%,1,Litro,27.325
2013,ene,CARCHI,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.033333333333333
2013,ene,CARCHI,HERBICIDAS,ATRAZINA,80%,1,Kilogramo,9.0
2013,ene,CARCHI,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.180000000000001
2013,ene,CARCHI,HERBICIDAS,PROPANIL,48%,1,Litro,8.5
2013,ene,CARCHI,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,7.9375
2013,ene,CARCHI,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,10.88125
2013,ene,CHIMBORAZO,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,41.4
2013,ene,CHIMBORAZO,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,32.05833333333333
2013,ene,CHIMBORAZO,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,33.39
2013,ene,CHIMBORAZO,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,5.678888888888889
2013,ene,CHIMBORAZO,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.845454545454545
2013,ene,CHIMBORAZO,HERBICIDAS,PROPANIL,48%,1,Litro,7.2
2013,ene,CHIMBORAZO,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,10.9175
2013,ene,CHIMBORAZO,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,12.25
2013,ene,COTOPAXI,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,42.25
2013,ene,COTOPAXI,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,33.0
2013,ene,COTOPAXI,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,33.67
2013,ene,COTOPAXI,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,6.380000000000001
2013,ene,COTOPAXI,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.9
2013,ene,COTOPAXI,HERBICIDAS,ATRAZINA,80%,1,Kilogramo,9.3
2013,ene,COTOPAXI,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.745714285714286
2013,ene,COTOPAXI,HERBICIDAS,PENDIMETALINA,40%,1,Litro,10.4
2013,ene,COTOPAXI,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,11.9
2013,ene,EL ORO,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,41.55
2013,ene,EL ORO,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,31.005
2013,ene,EL ORO,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,30.859999999999996
2013,ene,EL ORO,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,5.6
2013,ene,EL ORO,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,14.366666666666667
2013,ene,EL ORO,FUNGICIDAS,PROPICONAZOL,25%,1,Litro,29.0
2013,ene,EL ORO,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.45
2013,ene,EL ORO,HERBICIDAS,ATRAZINA,90%,900,gramos,9.3
2013,ene,EL ORO,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.9
2013,ene,EL ORO,HERBICIDAS,PARAQUAT,20%,1,Litro,7.0
2013,ene,EL ORO,HERBICIDAS,PENDIMETALINA,40%,1,Litro,8.58
2013,ene,EL ORO,HERBICIDAS,PROPANIL,48%,1,Litro,8.0
2013,ene,EL ORO,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,10.26
2013,ene,EL ORO,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,11.89
2013,ene,ESMERALDAS,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,42.0
2013,ene,ESMERALDAS,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,38.42
2013,ene,ESMERALDAS,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,31.62
2013,ene,ESMERALDAS,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,6.083333333333333
2013,ene,ESMERALDAS,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,13.85
2013,ene,ESMERALDAS,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.475
2013,ene,ESMERALDAS,HERBICIDAS,ATRAZINA,80%,1,Kilogramo,8.0
2013,ene,ESMERALDAS,HERBICIDAS,GLIFOSATO,48%,1,Litro,4.833333333333333
2013,ene,ESMERALDAS,HERBICIDAS,PARAQUAT,20%,1,Litro,5.5
2013,ene,ESMERALDAS,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,9.816666666666666
2013,ene,ESMERALDAS,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,11.4
2013,ene,GUAYAS,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,34.0
2013,ene,GUAYAS,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,33.0
2013,ene,GUAYAS,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,4.0
2013,ene,GUAYAS,HERBICIDAS,PENDIMETALINA,40%,1,Litro,8.0
2013,ene,IMBABURA,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,45.957142857142856
2013,ene,IMBABURA,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,35.22857142857143
2013,ene,IMBABURA,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,34.208333333333336
2013,ene,IMBABURA,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,5.97
2013,ene,IMBABURA,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,12.0
2013,ene,IMBABURA,FUNGICIDAS,PROPICONAZOL,25%,1,Litro,22.95
2013,ene,IMBABURA,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.175
2013,ene,IMBABURA,HERBICIDAS,ATRAZINA,90%,900,gramos,8.76
2013,ene,IMBABURA,HERBICIDAS,GLIFOSATO,48%,1,Litro,4.6571428571428575
2013,ene,IMBABURA,HERBICIDAS,PARAQUAT,20%,1,Litro,5.5
2013,ene,IMBABURA,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,7.625
2013,ene,IMBABURA,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,11.450000000000001
2013,ene,LOJA,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,39.292857142857144
2013,ene,LOJA,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,35.125
2013,ene,LOJA,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,34.24285714285714
2013,ene,LOJA,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,7.5249999999999995
2013,ene,LOJA,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,13.337499999999999
2013,ene,LOJA,FUNGICIDAS,PROPICONAZOL,25%,1,Litro,23.2
2013,ene,LOJA,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.241666666666666
2013,ene,LOJA,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.2
2013,ene,LOJA,HERBICIDAS,PENDIMETALINA,40%,1,Litro,8.183333333333332
2013,ene,LOJA,HERBICIDAS,PROPANIL,48%,1,Litro,6.0
2013,ene,LOJA,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,9.52
2013,ene,LOJA,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,12.19
2013,ene,LOS RIOS,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,45.5
2013,ene,LOS RIOS,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,30.89
2013,ene,LOS RIOS,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,31.314999999999998
2013,ene,LOS RIOS,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,6.355
2013,ene,LOS RIOS,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,12.89
2013,ene,LOS RIOS,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,4.913333333333333
2013,ene,LOS RIOS,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.5633333333333335
2013,ene,LOS RIOS,HERBICIDAS,PENDIMETALINA,40%,1,Litro,10.365
2013,ene,LOS RIOS,HERBICIDAS,PROPANIL,48%,1,Litro,9.48
2013,ene,LOS RIOS,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,12.77
2013,ene,LOS RIOS,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,11.75
2013,ene,MORONA SANTIAGO,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,38.75
2013,ene,MORONA SANTIAGO,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,5.8
2013,ene,MORONA SANTIAGO,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,15.7
2013,ene,MORONA SANTIAGO,FUNGICIDAS,PROPICONAZOL,25%,1,Litro,29.0
2013,ene,MORONA SANTIAGO,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,4.675000000000001
2013,ene,MORONA SANTIAGO,HERBICIDAS,ATRAZINA,80%,1,Kilogramo,8.0
2013,ene,MORONA SANTIAGO,HERBICIDAS,GLIFOSATO,48%,1,Litro,4.875
2013,ene,MORONA SANTIAGO,HERBICIDAS,PENDIMETALINA,40%,1,Litro,8.15
2013,ene,MORONA SANTIAGO,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,11.8
2013,ene,NAPO,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,48.68
2013,ene,NAPO,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,38.95
2013,ene,NAPO,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,38.95
2013,ene,NAPO,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,5.2
2013,ene,NAPO,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,15.5025
2013,ene,NAPO,HERBICIDAS,GLIFOSATO,48%,1,Litro,6.028333333333333
2013,ene,NAPO,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,12.8
2013,ene,PICHINCHA,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,43.972500000000004
2013,ene,PICHINCHA,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,34.957499999999996
2013,ene,PICHINCHA,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,33.20428571428572
2013,ene,PICHINCHA,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,6.264
2013,ene,PICHINCHA,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,13.7975
2013,ene,PICHINCHA,FUNGICIDAS,PROPICONAZOL,25%,1,Litro,27.0
2013,ene,PICHINCHA,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,4.908333333333333
2013,ene,PICHINCHA,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.373684210526317
2013,ene,PICHINCHA,HERBICIDAS,PARAQUAT,20%,1,Litro,7.53
2013,ene,PICHINCHA,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,9.95
2013,ene,PICHINCHA,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,12.35
2013,ene,SANTA ELENA,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,47.53333333333333
2013,ene,SANTA ELENA,FERTILIZANTES,MURIATO DE POTASIO,0-0-60,50,Kilogramo,36.0
2013,ene,SANTA ELENA,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,34.75
2013,ene,SANTA ELENA,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,5.95
2013,ene,SANTA ELENA,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,12.8
2013,ene,SANTA ELENA,FUNGICIDAS,PROPICONAZOL,25%,1,Litro,24.0
2013,ene,SANTA ELENA,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,5.525
2013,ene,SANTA ELENA,HERBICIDAS,ATRAZINA,80%,1,Kilogramo,7.3
2013,ene,SANTA ELENA,HERBICIDAS,GLIFOSATO,48%,1,Litro,5.116666666666666
2013,ene,SANTA ELENA,HERBICIDAS,PENDIMETALINA,40%,1,Litro,9.525
2013,ene,SANTA ELENA,INSECTICIDAS,CIPERMETRINA,20%,1,Litro,9.3
2013,ene,SANTA ELENA,INSECTICIDAS,CLORPIRIPHOS,48%,1,Litro,10.6
2013,ene,SANTO DOMINGO DE LOS TSÁCHILAS,FERTILIZANTES,FOSFATO DIAMONICO,18-46-0,50,Kilogramo,45.0
2013,ene,SANTO DOMINGO DE LOS TSÁCHILAS,FERTILIZANTES,UREA,46-0-0,50,Kilogramo,38.25
2013,ene,SANTO DOMINGO DE LOS TSÁCHILAS,FUNGICIDAS,CIMOXANIL+MANCOZEB,8% 64%,500,gramos,5.366666666666667
2013,ene,SANTO DOMINGO DE LOS TSÁCHILAS,FUNGICIDAS,CLOROTALONIL,72%,1,Litro,13.833333333333334
2013,ene,SANTO DOMINGO DE LOS TSÁCHILAS,HERBICIDAS,"2,4 - D AMINA",72%,1,Litro,4.625
