año,mes,tipo_mercado,mercado,provincia,cantón,producto,pres,cant,unidad_medida,promedio_de_precio_usd,precio__promedio_usdkg,unnamed_12
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Arveja Tierna en Vaina,Saco,110.0,Libra,43.5,0.87,
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Cebolla Colorada Nacional Seca,Malla,30.0,Libra,6.875,0.5,
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Cebolla Perla Nacional Seca,Malla,30.0,Libra,5.625,0.41,
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Fréjol en Vaina - Gema,Bulto,110.0,Libra,17.5,0.34,
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Fréjol Tierno en Vaina Cargabello,Bulto,110.0,Libra,15.25,0.305,
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Fréjol Tierno en Vaina Paragache,Bulto,110.0,Libra,15.75,0.3125,
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Haba Tierna en Vaina,Saco,85.0,Libra,9.25,0.235,
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Tomate de Árbol,Malla,25.0,Libra,7.0,0.61,
2012,Enero,Intermedio,Bolívar-Carchi,Carchi,Bolivar,Zanahoria Amarilla,Saco,130.0,Libra,6.25,0.1,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Aguacate Fuerte,Ciento,55.0,Libra,30.0,1.2,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Arveja Tierna en Vaina,Saco,55.0,Libra,30.0,1.2,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Arveja Tierna en Vaina,Saco,110.0,Libra,56.25,1.125,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Brócoli,Unidad,2.0,Libra,0.3125,0.34,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Cebolla Blanca en Rama,Carga,90.0,Libra,14.5,0.35,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Col,Bulto,130.0,Libra,5.5,0.095,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Fréjol en Vaina - Gema,Saco,110.0,Libra,36.75,0.735,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Fréjol Tierno en Vaina Blanco Leche,Saco,140.0,Libra,32.0,0.5,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Fréjol Tierno en Vaina Cargabello,Saco,110.0,Libra,30.0,0.59,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Frutilla,Balde,25.0,Libra,11.0,0.96,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Frutilla,Caja,10.0,Libra,5.0,1.1,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Haba Tierna en Vaina,Saco,70.0,Libra,9.75,0.3,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Haba Tierna en Vaina,Saco,85.0,Libra,12.75,0.3275,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Lechuga,Bulto,65.0,Libra,5.125,0.1725,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Maíz Suave Choclo,Saco,70.0,Libra,8.5,0.265,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Maíz Suave Choclo,Saco,80.0,Libra,13.75,0.375,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Mandarina de la Sierra,Cartón,20.0,Libra,8.0,0.88,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Papa Esperanza,Quintal,100.0,Libra,8.0,0.1725,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Papa Fripapa,Quintal,100.0,Libra,10.25,0.2225,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Papa Leona Blanca o Cecilia,Quintal,100.0,Libra,12.0,0.26,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Papa Leona Negra,Quintal,100.0,Libra,10.5,0.23,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Papa Superchola,Quintal,100.0,Libra,11.0,0.24,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Remolacha,Saco,90.0,Libra,7.75,0.1875,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Tomate de Árbol,Caja,40.0,Libra,9.25,0.51,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Tomate de Árbol,Caja,55.0,Libra,10.0,0.4,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Tomate Riñón de Invernadero,Caja,35.0,Libra,9.5,0.595,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Yuca,Funda,120.0,Libra,13.25,0.2375,
2012,Enero,Intermedio,Latacunga,Cotopaxi,Latacunga,Zanahoria Amarilla,Saco,90.0,Libra,6.0,0.1425,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Aguacate Nacional,Ciento,85.0,Libra,18.125,0.46125,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Limón Sutil,Malla,80.0,Libra,19.875,0.5425,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Maíz Duro Choclo,Almud,130.0,Libra,13.5,0.22625,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Maracuyá,Ciento,40.0,Libra,6.0,0.33,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Melón,Ciento,542.0,Libra,106.0,0.43,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Naranja,Ciento,50.0,Libra,11.2857142857143,0.491428571428571,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Pepinillo Pepino,Ciento,100.0,Libra,10.75,0.23125,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Pimiento,Saco,65.0,Libra,11.8333333333333,0.401666666666667,
2012,Enero,Intermedio,Portoviejo,Manabí,Portoviejo ,Piña,Ciento,500.0,Libra,91.25,0.405,
