año,mes,provincia,producto,presentación,equivalencia,unidad_de_medida,precio_promedio_usd,precio_promedio_usdkg
2016,Enero,Guayas,Arroz Cáscara,Saca,205.0,Libra,35.58553191489363,0.3826954896107941
2016,Enero,Manabí,Arroz Cáscara,Saca,220.0,Libra,33.6075,0.33678075749999997
2016,Enero,El Oro,Arroz Pilado,Quintal,100.0,Libra,38.903225806451616,0.8576682967741934
2016,Enero,Loja,Arroz Pilado,Quintal,100.0,Libra,39.333333333333336,0.8671505333333334
2016,Enero,Manabí,Arroz Pilado,Quintal,100.0,Libra,37.8125,0.8336219374999999
2016,Enero,Carchi,Arveja Tierna En Vaina,Bulto,110.0,Libra,20.464285714285715,0.4101452142857143
2016,Enero,Cañar,Banano Cavendish Enano,Caja,43.0,Libra,7.386666666666667,0.3787161178294573
2016,Enero,El Oro,Banano Cavendish Spot,Caja,43.0,Libra,7.005333333333331,0.3591650691472867
2016,Enero,Guayas,Banano Cavendish Spot,Caja,43.0,Libra,7.638636363636363,0.39163466279069764
2016,Enero,Los Rios,Banano Cavendish Spot,Caja,43.0,Libra,8.28,0.42451752558139527
2016,Enero,Chimborazo,Brócoli,Kilogramo,2.2,Libra,0.3700000000000001,0.3700000000000001
2016,Enero,Cotopaxi,Brócoli,Kilogramo,2.2,Libra,0.25666666666666654,0.25666666666666654
2016,Enero,Bolivar,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,103.85714285714286,2.289655342857143
2016,Enero,Cañar,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,108.0,2.3809896
2016,Enero,Cotopaxi,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,115.1,2.53751762
2016,Enero,Guayas,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,106.69565217391305,2.3522336869565215
2016,Enero,Los Rios,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,105.0,2.314851
2016,Enero,Morona Santiago,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,90.0,1.9841579999999999
2016,Enero,Napo,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,94.5,2.0833658999999995
2016,Enero,Santa Elena,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,114.25,2.51877835
2016,Enero,Santo Domingo De Los Tsáchilas,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,110.0,2.425082
2016,Enero,Sucumbios,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,103.33333333333333,2.278107333333333
2016,Enero,Zamora Chinchipe,Cacao Ccn51 Almendra Seca,Quintal,100.0,Libra,100.0,2.20462
2016,Enero,Bolivar,Cacao Fino De Aroma Almendra Seca,Quintal,100.0,Libra,105.0,2.314851
2016,Enero,Cotopaxi,Cacao Fino De Aroma Almendra Seca,Quintal,100.0,Libra,118.875,2.6207420249999998
2016,Enero,Esmeraldas,Cacao Fino De Aroma Almendra Seca,Quintal,100.0,Libra,104.11111111111111,2.2952543777777774
2016,Enero,Los Rios,Cacao Fino De Aroma Almendra Seca,Quintal,100.0,Libra,111.0,2.4471282
2016,Enero,Morona Santiago,Cacao Fino De Aroma Almendra Seca,Quintal,100.0,Libra,115.0,2.5353129999999995
2016,Enero,Napo,Cacao Fino De Aroma Almendra Seca,Quintal,100.0,Libra,95.28571428571429,2.1006879142857144
2016,Enero,Pastaza,Cacao Fino De Aroma Almendra Seca,Libra,1.0,Libra,0.9683333333333332,2.134807033333333
2016,Enero,Zamora Chinchipe,Cacao Fino De Aroma Almendra Seca,Quintal,100.0,Libra,100.0,2.20462
2016,Enero,Bolivar,Cacao Mezclado Almendra Seca,Quintal,100.0,Libra,105.0,2.314851
2016,Enero,Cotopaxi,Cacao Mezclado Almendra Seca,Quintal,100.0,Libra,116.0,2.5573591999999996
2016,Enero,El Oro,Cacao Mezclado Almendra Seca,Quintal,100.0,Libra,98.6470588235294,2.174792788235294
2016,Enero,Guayas,Cacao Mezclado Almendra Seca,Quintal,100.0,Libra,106.0,2.3368972
2016,Enero,Napo,Cacao Mezclado Almendra Seca,Quintal,100.0,Libra,103.0,2.2707585999999997
2016,Enero,Orellana,Cacao Mezclado Almendra Seca,Quintal,100.0,Libra,92.0,2.0282504
2016,Enero,Santo Domingo De Los Tsáchilas,Cacao Mezclado Almendra Seca,Quintal,100.0,Libra,106.4,2.34571568
2016,Enero,Loja,Café Arábigo Bola,Quintal,100.0,Libra,136.66666666666666,3.012980666666666
2016,Enero,Zamora Chinchipe,Café Arábigo Bola,Quintal,100.0,Libra,130.0,2.866006
2016,Enero,Orellana,Café Robusta Cereza,Quintal,100.0,Libra,12.609375,0.27798880312499996
2016,Enero,Sucumbios,Café Robusta Cereza,Quintal,100.0,Libra,13.466666666666667,0.2968888266666666
2016,Enero,Morona Santiago,Caña De Azúcar Tallo Fresco,Unidad,6.0,Libra,0.6,0.22046199999999996
2016,Enero,Azuay,Cebolla Colorada Seca Y Limpia De Primera,Malla,100.0,Libra,22.0,0.48501639999999996
2016,Enero,Carchi,Cebolla Colorada Seca Y Limpia De Primera,Malla,30.0,Libra,4.833333333333333,0.3551887777777777
2016,Enero,Loja,Cebolla Colorada Seca Y Limpia De Primera,Malla,100.0,Libra,16.0,0.3527392
2016,Enero,Santa Elena,Cebolla Colorada Seca Y Limpia De Primera,Malla,100.0,Libra,18.666666666666668,0.41152906666666667
2016,Enero,Carchi,Cebolla En Rama Seca Y Limpia De Primera,Malla,30.0,Libra,4.5,0.33069299999999996
2016,Enero,Carchi,Fréjol Tierno En Vaina,Bulto,110.0,Libra,26.233333333333334,0.5257684666666667
2016,Enero,Imbabura,Fréjol Tierno En Vaina,Bulto,110.0,Libra,42.13333333333333,0.8444362666666665
2016,Enero,Imbabura,Frutilla,Balde,25.0,Libra,13.0,1.1464024
2016,Enero,Pichincha,Frutilla,Balde,25.0,Libra,13.0,1.1464024
2016,Enero,Pichincha,Frutilla,Caja,10.0,Libra,2.9166666666666665,0.6430141666666666
2016,Enero,Tungurahua,Frutilla,Balde,30.0,Libra,14.8,1.0876125333333333
2016,Enero,Manabí,Limón Sutil,Malla,80.0,Libra,13.5,0.372029625
2016,Enero,Santa Elena,Limón Sutil,Saco,80.0,Libra,14.75,0.4064768125
2016,Enero,Guayas,Maíz Duro Seco,Quintal,100.0,Libra,17.756666666666664,0.3914670246666666
2016,Enero,Loja,Maíz Duro Seco,Quintal,100.0,Libra,16.166666666666668,0.3564135666666667
2016,Enero,Napo,Maíz Duro Seco,Quintal,100.0,Libra,14.989999999999998,0.3304725379999999
2016,Enero,Orellana,Maíz Duro Seco,Quintal,100.0,Libra,14.250624999999998,0.3141721288749999
2016,Enero,Santa Elena,Maíz Duro Seco,Quintal,100.0,Libra,18.124999999999996,0.3995873749999999
2016,Enero,Imbabura,Maíz Suave Choclo,Bulto,120.0,Libra,18.545454545454547,0.340714
2016,Enero,Esmeraldas,Maracuyá,Kilogramo,2.2,Libra,0.25,0.25
2016,Enero,Los Rios,Maracuyá,Kilogramo,2.2,Libra,0.35500000000000004,0.35500000000000004
2016,Enero,Santa Elena,Maracuyá,Ciento,53.0,Libra,14.5,0.6031507547169811
2016,Enero,Santo Domingo De Los Tsáchilas,Maracuyá,Kilogramo,2.2,Libra,0.37766666666666665,0.37766666666666665
2016,Enero,Santa Elena,Melón,Metros Cúbicos,1470.0,Libra,285.0,0.4274263265306122
2016,Enero,Napo,Naranjilla Híbrida,Caja,30.0,Libra,10.375,0.7624310833333332
2016,Enero,Zamora Chinchipe,Naranjilla Híbrida,Quintal,100.0,Libra,30.03,0.662047386
2016,Enero,Esmeraldas,Palma De Aceite,Tonelada Métrica,2200.0,Libra,109.2,0.10942932
2016,Enero,Los Rios,Palma De Aceite,Tonelada Métrica,2200.0,Libra,110.0,0.110231
2016,Enero,Orellana,Palma De Aceite,Tonelada Métrica,2200.0,Libra,103.25,0.10346682499999998
2016,Enero,Pichincha,Palma De Aceite,Tonelada Métrica,2200.0,Libra,111.6875,0.11192204374999999
2016,Enero,Santo Domingo De Los Tsáchilas,Palma De Aceite,Tonelada Métrica,2200.0,Libra,108.76666666666667,0.10899507666666665
2016,Enero,Sucumbios,Palma De Aceite,Tonelada Métrica,2200.0,Libra,118.0,0.11824779999999999
2016,Enero,Esmeraldas,Palmito,Tallos,2.0,Libra,0.34,0.3747854
2016,Enero,Orellana,Palmito,Tallos,3.0,Libra,0.23375000000000018,0.17177664166666679
2016,Enero,Pichincha,Palmito,Tallos,2.0,Libra,0.27375,0.30175736249999996
2016,Enero,Santo Domingo De Los Tsáchilas,Palmito,Tallos,2.0,Libra,0.28681818181818186,0.31616255000000004
2016,Enero,Carchi,Papa Superchola,Quintal,100.0,Libra,11.90625,0.26248756874999996
2016,Enero,Pichincha,Papa Superchola,Quintal,100.0,Libra,18.814814814814813,0.4147951703703703
2016,Enero,Tungurahua,Papa Superchola,Quintal,100.0,Libra,16.64,0.36684876799999994
2016,Enero,Santa Elena,Pimiento,Saco,45.0,Libra,6.666666666666667,0.3266103703703704
2016,Enero,Morona Santiago,Pitahaya Amarilla,Kilogramo,2.2,Libra,0.7999999999999999,0.7999999999999999
2016,Enero,Cotopaxi,Plátano Barraganete,Racimo,70.0,Libra,1.7,0.05354077142857142
2016,Enero,Manabí,Plátano Barraganete,Caja,50.0,Libra,3.9583333333333335,0.17453241666666663
2016,Enero,Santo Domingo De Los Tsáchilas,Plátano Barraganete,Caja,50.0,Libra,5.837500000000001,0.257389385
2016,Enero,Santo Domingo De Los Tsáchilas,Plátano Barraganete,Caja,70.0,Libra,3.75,0.11810464285714284
2016,Enero,Santo Domingo De Los Tsáchilas,Plátano Barraganete,Racimo,40.0,Libra,2.125,0.11712043749999998
2016,Enero,Zamora Chinchipe,Plátano Barraganete,Racimo,40.0,Libra,5.0,0.2755775
2016,Enero,Cotopaxi,Plátano Dominico,Racimo,70.0,Libra,2.04,0.06424892571428571
2016,Enero,Morona Santiago,Plátano Dominico,Racimo,40.0,Libra,5.0,0.2755775
2016,Enero,Santo Domingo De Los Tsáchilas,Plátano Dominico,Racimo,50.0,Libra,2.05,0.09038941999999998
2016,Enero,Zamora Chinchipe,Plátano Dominico,Racimo,22.0,Libra,3.0,0.30062999999999995
2016,Enero,Zamora Chinchipe,Plátano Dominico,Racimo,40.0,Libra,5.785714285714286,0.31888253571428565
2016,Enero,Santa Elena,Sandía,Unidad,17.0,Libra,2.7666666666666666,0.35879109803921566
2016,Enero,Azuay,Tomate De Árbol,Caja,140.0,Libra,46.0,0.7243751428571428
2016,Enero,Imbabura,Tomate De Árbol,Gaveta,80.0,Libra,29.0,0.7991747499999999
2016,Enero,Imbabura,Tomate De Árbol,Saco,85.0,Libra,28.568181818181817,0.7409645294117646
2016,Enero,Napo,Tomate De Árbol,Gaveta,80.0,Libra,33.21212121212121,0.9152513333333333
2016,Enero,Tungurahua,Tomate De Árbol,Cartón,15.0,Libra,7.366666666666666,1.0827133777777778
2016,Enero,Tungurahua,Tomate De Árbol,Saco,85.0,Libra,37.666666666666664,0.9769492549019606
2016,Enero,Imbabura,Tomate Riñón A Campo Abierto,Caja,35.0,Libra,4.266666666666667,0.2687536761904762
2016,Enero,Azuay,Tomate Riñón De Invernadero,Gaveta,46.0,Libra,9.5,0.4553019565217391
2016,Enero,Chimborazo,Tomate Riñón De Invernadero,Caja,40.0,Libra,6.384615384615385,0.35189126923076924
2016,Enero,Imbabura,Tomate Riñón De Invernadero,Caja,35.0,Libra,5.9,0.37163594285714285
2016,Enero,Tungurahua,Tomate Riñón De Invernadero,Caja,45.0,Libra,6.533333333333333,0.32007816296296293
2016,Enero,Morona Santiago,Yuca,Funda,110.0,Libra,15.0,0.30062999999999995
2016,Enero,Santo Domingo De Los Tsáchilas,Yuca,Funda,120.0,Libra,6.55,0.12033550833333331
2016,Enero,Santo Domingo De Los Tsáchilas,Yuca,Saco,165.0,Libra,7.4375,0.09937491666666666
2016,Febrero,Guayas,Arroz Cáscara,Saca,205.0,Libra,37.27633333333333,0.4008787804552845
2016,Febrero,Los Rios,Arroz Cáscara,Saca,200.0,Libra,37.18,0.409838858
2016,Febrero,El Oro,Arroz Pilado,Quintal,100.0,Libra,40.38709677419355,0.8903820129032258
2016,Febrero,Loja,Arroz Pilado,Quintal,100.0,Libra,40.0,0.881848
2016,Febrero,Carchi,Arveja Tierna En Vaina,Bulto,110.0,Libra,29.366666666666667,0.5885667333333333
