producto_key,producto_productor,producto_mercados,registros_productor,registros_mercados,provincias_productor,provincias_mercados,provincias_union,provincias_en_ambas,producto_recomendado,registros_total,registros_balance,score_modelado
papa superchola,Papa Superchola,Papa Superchola,803,1090,8,14,14,8,Papa Superchola,1893,803,3699
tomate rinon de invernadero,Tomate Riñón De Invernadero,Tomate Riñón de Invernadero,560,1674,5,13,13,5,Tomate Riñón De Invernadero,2234,560,3479
maracuya,Maracuyá,Maracuyá,627,1381,6,12,13,5,Maracuyá,2008,627,3387
frutilla,Frutilla,Frutilla,543,1205,4,10,10,4,Frutilla,1748,543,2934
tomate de arbol,Tomate De Árbol,Tomate de Árbol,375,1630,5,12,13,4,Tomate De Árbol,2005,375,2855
maiz suave choclo,Maíz Suave Choclo,Maíz Suave Choclo,254,1742,8,13,14,7,Maíz Suave Choclo,1996,254,2679
yuca,Yuca,Yuca,439,1236,6,9,12,3,Yuca,1675,439,2628
limon sutil,Limón Sutil,Limón Sutil,374,1377,3,13,13,3,Limón Sutil,1751,374,2574
pimiento,Pimiento,Pimiento,204,1753,3,14,14,3,Pimiento,1957,204,2440
naranjilla hibrida,Naranjilla Híbrida,Naranjilla Híbrida,327,1230,4,10,13,1,Naranjilla Híbrida,1557,327,2236
haba tierna en vaina,Haba Tierna En Vaina,Haba Tierna en Vaina,56,1801,2,15,15,2,Haba Tierna En Vaina,1857,56,2019
brocoli,Brócoli,Brócoli,202,1069,2,10,10,2,Brócoli,1271,202,1725
naranja,Naranja,Naranja,99,875,2,9,9,2,Naranja,974,99,1222
melon,Melón,Melón,39,1069,1,10,10,1,Melón,1108,39,1211
aguacate fuerte,Aguacate Fuerte,Aguacate Fuerte,22,1075,2,10,10,2,Aguacate Fuerte,1097,22,1191
arveja tierna en vaina,Arveja Tierna En Vaina,Arveja Tierna en Vaina,185,265,3,9,9,3,Arveja Tierna En Vaina,450,185,895
tomate rinon a campo abierto,Tomate Riñón A Campo Abierto,Tomate Riñón a Campo Abierto,64,594,3,8,8,3,Tomate Riñón A Campo Abierto,658,64,861
